,feature,importance
0,building_id                  ,52771
1,meter_mean                   ,8067
2,hour                         ,7297
3,precip_depth_1_hr_std_lag3   ,4058
4,air_temperature_min_lag96    ,3203
5,air_temperature_mean_lag72   ,2494
6,dew_temperature_min_lag96    ,2456
7,air_temperature_max_lag96    ,2372
8,log_square_feet              ,2356
9,meter_std                    ,2291
10,air_temperature_mean_lag96   ,2284
11,sea_level_pressure_max_lag96 ,2230
12,dew_temperature_max_lag96    ,2131
13,dayofweek                    ,2064
14,air_temperature_min_lag3     ,1884
15,air_temperature_max_lag72    ,1686
16,sea_level_pressure_min_lag96 ,1612
17,meter_max                    ,1602
18,air_temperature_mean_lag3    ,1521
19,air_temperature_min_lag72    ,1411
20,wind_direction_mean_lag96    ,1387
21,dew_temperature_mean_lag96   ,1308
22,air_temperature_max_lag3     ,1200
23,cloud_coverage_std_lag96     ,1157
24,precip_depth_1_hr_std_lag96  ,1152
25,dew_temperature_min_lag72    ,1122
26,wind_speed_mean_lag96        ,1073
27,dew_temperature_mean_lag72   ,1047
28,wind_direction_std_lag96     ,984
29,precip_depth_1_hr_mean_lag96 ,977
30,cloud_coverage_mean_lag96    ,974
31,wind_speed_max_lag96         ,969
32,sea_level_pressure_min_lag72 ,905
33,air_temperature              ,902
34,site_id                      ,840
35,cloud_coverage_std_lag72     ,831
36,air_temperature_std_lag96    ,829
37,sea_level_pressure_max_lag72 ,808
38,dew_temperature_std_lag96    ,745
39,wind_speed_std_lag96         ,742
40,dew_temperature_max_lag72    ,726
41,cloud_coverage_mean_lag72    ,721
42,wind_speed_mean_lag72        ,714
43,precip_depth_1_hr_max_lag96  ,706
44,wind_direction_max_lag72     ,705
45,wind_direction_mean_lag72    ,704
46,air_temperature_std_lag72    ,701
47,sea_level_pressure_mean_lag96,686
48,precip_depth_1_hr_mean_lag72 ,681
49,wind_direction_std_lag72     ,679
50,precip_depth_1_hr_std_lag72  ,532
51,dew_temperature_mean_lag3    ,531
52,sea_level_pressure_std_lag96 ,528
53,dew_temperature_std_lag72    ,522
54,floor_count                  ,522
55,primary_use                  ,510
56,precip_depth_1_hr_max_lag72  ,509
57,dew_temperature_min_lag3     ,503
58,sea_level_pressure_mean_lag72,489
59,wind_direction_max_lag96     ,480
60,dew_temperature_max_lag3     ,477
61,wind_speed_std_lag72         ,462
62,wind_speed_max_lag72         ,432
63,sea_level_pressure_std_lag72 ,422
64,cloud_coverage_std_lag3      ,376
65,building_age                 ,291
66,sea_level_pressure           ,286
67,dew_temperature              ,242
68,wind_direction_min_lag96     ,232
69,cloud_coverage_max_lag96     ,227
70,cloud_coverage_max_lag72     ,204
71,precip_depth_1_hr_min_lag72  ,203
72,precip_depth_1_hr_min_lag96  ,194
73,sea_level_pressure_max_lag3  ,185
74,wind_direction_mean_lag3     ,137
75,air_temperature_std_lag3     ,135
76,sea_level_pressure_mean_lag3 ,131
77,wind_speed_mean_lag3         ,118
78,wind_direction_max_lag3      ,114
79,wind_speed_min_lag72         ,112
80,wind_direction_min_lag72     ,108
81,sea_level_pressure_min_lag3  ,104
82,wind_direction_min_lag3      ,102
83,wind_speed_min_lag96         ,91
84,cloud_coverage               ,91
85,wind_direction               ,81
86,cloud_coverage_mean_lag3     ,79
87,precip_depth_1_hr_min_lag3   ,74
88,wind_speed_min_lag3          ,66
89,wind_direction_std_lag3      ,59
90,dew_temperature_std_lag3     ,58
91,wind_speed                   ,55
92,wind_speed_max_lag3          ,52
93,wind_speed_std_lag3          ,42
94,precip_depth_1_hr            ,35
95,cloud_coverage_min_lag3      ,32
96,cloud_coverage_min_lag96     ,32
97,cloud_coverage_min_lag72     ,26
98,sea_level_pressure_std_lag3  ,26
99,cloud_coverage_max_lag3      ,22
100,precip_depth_1_hr_mean_lag3  ,19
101,precip_depth_1_hr_max_lag3   ,19
102,meter_min                    ,6
103,meter                        ,0
